Time,Acel. X,Acel. Y,Acel. Z,Rot. X,Rot. Y,Rot. Z
12237,0.78,-0.50,-10.24,0.05,-0.05,-0.02
12272,0.77,-0.50,-10.27,0.06,-0.05,-0.00
12307,0.78,-0.58,-10.28,0.06,-0.05,0.01
12355,0.82,-0.61,-10.27,0.06,-0.05,0.01
12390,0.82,-0.59,-10.26,0.05,-0.05,0.00
12424,0.82,-0.61,-10.24,0.06,-0.05,-0.00
12459,0.79,-0.58,-10.24,0.05,-0.05,-0.01
12494,0.80,-0.62,-10.29,0.05,-0.05,-0.01
12528,0.80,-0.53,-10.24,0.06,-0.05,-0.01
12563,0.82,-0.58,-10.25,0.06,-0.05,-0.01
12603,0.80,-0.53,-10.26,0.06,-0.05,-0.00
12638,0.80,-0.59,-10.26,0.06,-0.05,-0.00
12673,0.79,-0.55,-10.26,0.06,-0.05,0.00
12707,0.81,-0.59,-10.26,0.06,-0.05,-0.00
12742,0.80,-0.57,-10.25,0.06,-0.05,-0.00
12777,0.79,-0.58,-10.26,0.06,-0.05,-0.00
12811,0.81,-0.58,-10.27,0.05,-0.05,-0.01
12846,0.80,-0.58,-10.23,0.06,-0.05,-0.01
12881,0.81,-0.57,-10.25,0.06,-0.05,-0.01
12916,0.82,-0.57,-10.25,0.06,-0.05,-0.00
12950,0.80,-0.58,-10.24,0.05,-0.05,-0.00
12985,0.80,-0.57,-10.25,0.06,-0.05,-0.00
13025,0.79,-0.59,-10.24,0.06,-0.05,-0.00
13060,0.82,-0.57,-10.27,0.06,-0.05,-0.00
13095,0.82,-0.59,-10.27,0.06,-0.05,-0.00
13129,0.81,-0.57,-10.26,0.06,-0.05,-0.01
13164,0.82,-0.58,-10.25,0.06,-0.05,-0.01
13199,0.81,-0.58,-10.25,0.06,-0.05,-0.00
13234,0.79,-0.57,-10.25,0.06,-0.05,-0.00
13268,0.79,-0.58,-10.26,0.06,-0.05,-0.00
13303,0.82,-0.57,-10.28,0.06,-0.05,-0.00
13338,0.82,-0.57,-10.25,0.06,-0.05,-0.00
13372,0.82,-0.58,-10.25,0.06,-0.05,-0.00
13407,0.81,-0.59,-10.24,0.06,-0.05,-0.01
13447,0.81,-0.57,-10.26,0.06,-0.05,-0.00
13482,0.81,-0.55,-10.26,0.05,-0.05,-0.01
13516,0.80,-0.56,-10.21,0.06,-0.05,-0.00
13551,0.81,-0.58,-10.25,0.06,-0.05,-0.00
13599,0.82,-0.56,-10.26,0.06,-0.05,-0.00
13633,0.81,-0.57,-10.24,0.06,-0.05,-0.00
13668,0.81,-0.56,-10.25,0.05,-0.05,-0.00
13703,0.81,-0.57,-10.25,0.05,-0.05,-0.00
13737,0.79,-0.57,-10.26,0.06,-0.05,-0.00
13772,0.80,-0.58,-10.29,0.06,-0.05,-0.00
13820,0.81,-0.56,-10.25,0.06,-0.05,-0.01
13855,0.81,-0.55,-10.28,0.06,-0.05,-0.00
13895,0.80,-0.57,-10.24,0.06,-0.05,-0.00
13930,0.82,-0.60,-10.23,0.06,-0.05,-0.01
13964,0.81,-0.58,-10.25,0.06,-0.05,-0.00
13999,0.83,-0.55,-10.24,0.06,-0.05,-0.00
14034,0.82,-0.57,-10.26,0.06,-0.05,-0.00
14068,0.81,-0.57,-10.25,0.06,-0.05,-0.00
14103,0.79,-0.57,-10.26,0.06,-0.05,-0.00
14138,0.79,-0.57,-10.23,0.06,-0.05,-0.00
14172,0.79,-0.57,-10.24,0.06,-0.05,-0.00
14207,0.82,-0.57,-10.25,0.06,-0.05,-0.00
14242,0.80,-0.59,-10.29,0.06,-0.05,-0.00
14276,0.81,-0.58,-10.22,0.06,-0.05,-0.00
14317,0.82,-0.56,-10.26,0.06,-0.05,-0.00
14351,0.79,-0.58,-10.25,0.06,-0.05,-0.00
14386,0.81,-0.56,-10.25,0.06,-0.05,-0.00
14421,0.81,-0.58,-10.26,0.06,-0.05,-0.00
14455,0.81,-0.60,-10.25,0.06,-0.05,-0.01
14490,0.80,-0.57,-10.25,0.05,-0.05,-0.00
14525,0.81,-0.57,-10.27,0.06,-0.05,-0.01
14559,0.82,-0.57,-10.25,0.05,-0.05,-0.00
14594,0.83,-0.59,-10.23,0.06,-0.05,-0.00
14629,0.80,-0.56,-10.27,0.05,-0.05,-0.00
14663,0.82,-0.56,-10.25,0.06,-0.05,-0.00
14698,0.81,-0.57,-10.23,0.06,-0.05,-0.00
14733,0.79,-0.56,-10.23,0.06,-0.05,-0.00
14773,0.81,-0.58,-10.28,0.06,-0.05,-0.00
14808,0.82,-0.57,-10.24,0.06,-0.05,-0.01
14842,0.79,-0.60,-10.27,0.06,-0.05,-0.00
14877,0.81,-0.58,-10.26,0.06,-0.05,-0.00
14912,0.81,-0.57,-10.26,0.06,-0.05,-0.00
14958,0.79,-0.55,-10.25,0.06,-0.05,-0.00
14993,0.81,-0.59,-10.22,0.06,-0.05,-0.00
15027,0.81,-0.57,-10.24,0.06,-0.05,-0.01
15062,0.78,-0.57,-10.24,0.06,-0.05,-0.00
15096,0.80,-0.57,-10.26,0.06,-0.05,-0.00
