Time,Acel. X,Acel. Y,Acel. Z,Rot. X,Rot. Y,Rot. Z,time_diff
1067,6.887891891891892,-6.270135135135136,5.815135135135135,1.1248108108108108,0.77,-5.25981081081081,35.0
1102,6.607891891891891,-7.230135135135136,7.025135135135136,0.6848108108108109,0.29,-3.909810810810811,35.0
1137,0.757891891891892,-9.420135135135135,11.355135135135136,1.484810810810811,-0.14,-2.839810810810811,35.0
1172,2.287891891891892,-6.860135135135136,10.235135135135135,0.7248108108108109,-0.47000000000000003,-1.9498108108108108,35.0
1206,3.607891891891892,-6.2401351351351355,10.435135135135136,0.4548108108108108,-0.45,-1.609810810810811,34.0
1241,1.957891891891892,-7.300135135135135,14.295135135135135,0.8448108108108108,-0.61,-0.9198108108108108,35.0
1276,-2.072108108108108,-4.660135135135135,15.155135135135136,0.47481081081081083,-0.49000000000000005,-0.6898108108108107,35.0
1311,-0.012108108108108084,-6.770135135135136,16.635135135135137,0.4148108108108108,-0.44,-0.9498108108108108,35.0
1363,-0.15210810810810807,-3.150135135135135,18.535135135135135,0.6548108108108108,-0.28,-0.1798108108108108,52.0
1397,0.9678918918918918,-5.630135135135135,16.145135135135135,0.3748108108108108,-0.009999999999999995,0.12018918918918918,34.0
1432,0.587891891891892,-4.820135135135136,14.305135135135135,0.3248108108108108,0.22000000000000003,0.4501891891891892,35.0
1467,-0.012108108108108084,-4.790135135135135,12.205135135135135,0.3348108108108108,0.35,0.7001891891891892,35.0
1502,-0.05210810810810808,-4.360135135135136,11.115135135135136,0.47481081081081083,0.45999999999999996,0.9201891891891892,35.0
1536,-36.00210810810811,14.579864864864865,-1.5348648648648648,2.2848108108108107,0.22999999999999998,1.0801891891891893,34.0
1571,-78.61210810810812,-63.47013513513514,-52.79486486486486,8.674810810810811,2.4,-4.449810810810811,35.0
1606,-33.02210810810811,-47.11013513513514,22.065135135135137,8.164810810810812,-2.5500000000000003,-5.319810810810811,35.0
1641,-1.1221081081081081,-8.450135135135135,22.635135135135137,-1.8751891891891892,-3.25,-1.3798108108108107,35.0
